bookid,title,author,genres,rating,numofratings,bbescores,pages,price
1,The Hunger Games,Suzanne Collins,Young Adult,4.33,6376780,2993816,374,5.0
2,Harry Potter and the Order of the Phoenix,JK Rowling,Fantasy,4.5,2507623,2632233,870,7.0
5,Twilight,Stephenie Meyer,Young Adult,3.6,4964519,1459448,501,2.0
6,The Book Thief,Markus Zusak,Historical Fiction,4.37,1834276,1372809,552,3.0
7,Animal Farm,George Orwell,Classics,3.95,2740713,1276599,141,4.0
9,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,JRR Tolkien,Fantasy,4.6,110146,1159802,1728,21.0
10,Gone with the Wind,Margaret Mitchell,Classics,4.3,1074620,1087732,1037,5.0
13,The Giving Tree,Shel Silverstein,Childrens,4.37,905731,1021534,64,4.0
14,Wuthering Heights,Emily Brontë,Classics,3.86,1342664,981502,464,2.0
16,Memoirs of a Geisha,Arthur Golden,Fiction,4.12,1717312,862748,503,2.0
18,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,Classics,4.06,458299,833791,239,3.0
19,Jane Eyre,Charlotte Brontë,Classics,4.13,1624682,826759,532,5.0
22,Divergent,Veronica Roth,Young Adult,4.19,2906258,793269,487,0.0
23,Lord of the Flies,William Golding,Classics,3.69,2263259,773560,182,1.0
24,Romeo and Juliet,William Shakespeare,Classics,3.75,2055102,771784,301,6.0
25,The Alchemist,Paulo Coelho,Fiction,3.88,2107732,765587,182,13.0
26,Crime and Punishment,Fyodor Dostoyevsky,Classics,4.22,626897,759066,671,18.0
29,City of Bones,Cassandra Clare,Fantasy,4.1,1617465,721821,485,6.0
30,Ender's Game,Orson Scott,Science Fiction,4.3,1131303,720651,324,4.0
32,Anne of Green Gables,LM Montgomery,Classics,4.26,727685,695453,320,6.0
35,Charlotte's Web,EB White,Classics,4.17,1417302,681142,184,6.0
36,Of Mice and Men,John Steinbeck,Classics,3.88,1942168,667925,103,5.0
38,Dracula,Bram Stoker,Classics,4.0,938325,646782,488,4.0
39,Brave New World,Aldous Huxley,Classics,3.99,1441287,636202,288,3.0
41,The Catcher in the Rye,JD Salinger,Classics,3.81,2736523,603268,277,2.0
42,The Princess Bride,William Goldman,Fantasy,4.26,779597,601669,456,6.0
43,The Lightning Thief,Rick Riordan,Fantasy,4.26,1992300,597132,375,1.0
44,The Secret Garden,Frances Hodgson,Classics,4.13,891374,585722,331,3.0
45,A Thousand Splendid Suns,Khaled Hosseini,Fiction,4.38,1151288,580722,372,1.0
46,A Wrinkle in Time,Madeleine L'Engle,Fantasy,4.0,1051535,562789,218,4.0
47,A Game of Thrones,George RR,Fantasy,4.45,2003043,562241,835,4.0
48,The Adventures of Huckleberry Finn,Mark Twain,Classics,3.82,1151767,516841,327,6.0
49,The Lovely Bones,Alice Sebold,Fiction,3.82,2014401,510188,372,1.0
51,Where the Wild Things Are,Maurice Sendak,Childrens,4.22,816934,502762,37,3.0
